did,oid,eid,sid,ent,count,count_D,flow,flow_D,speed,speed_D,spdh,spdh_D,ttime,ttime_D,dtime,dtime_D,wtimeVQ,wtimeVQ_D,travel,travel_D,traveltime,traveltime_D,stime,stime_D,nstops,nstops_D
24296,23454,,2,1,1.0,-1.0,4.0,-1.0,31.8382963750887,-1.0,31.8382963750887,0.0,24.4517254349173,-1.0,8.63359569801377,-1.0,0.0,-1.0,0.216250355910886,-1.0,24.4517254349173,-1.0,0.0,-1.0,0.0,-1.0
24296,23455,,2,1,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,,
24296,23456,,2,1,1.0,-1.0,4.0,-1.0,38.5122917960917,-1.0,38.5122917960917,0.0,21.2167375388148,-1.0,4.01828974403564,-1.0,0.0,-1.0,0.226973663071091,-1.0,21.2167375388148,-1.0,0.0,-1.0,0.0,-1.0
24296,23457,,2,1,4.0,-1.0,16.0,-1.0,36.3502309767695,3.9369429339787,36.0466738379789,3.30790344072734,14.6876278809265,1.51264058603796,3.96135587135105,1.43349257435406,0.0,0.0,0.588266812974846,-1.0,58.7505115237059,-1.0,0.0,0.0,0.0,-1.0
24296,23458,,2,1,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,,
24296,23459,,2,1,1.0,-1.0,4.0,-1.0,30.9939783563626,-1.0,30.9939783563626,0.0,21.1836023523974,-1.0,6.19528437414638,-1.0,0.0,-1.0,0.182378920227777,-1.0,21.1836023523974,-1.0,0.0,-1.0,0.0,-1.0
24296,23460,,2,1,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,,
24296,23461,,2,1,1.0,-1.0,4.0,-1.0,36.5855228528196,-1.0,36.5855228528196,0.0,14.6504568942648,-1.0,2.284573304665,-1.0,0.0,-1.0,0.148887395974826,-1.0,14.6504568942648,-1.0,0.0,-1.0,0.0,-1.0
24296,23462,,2,1,2.0,-1.0,8.0,-1.0,25.0475939406664,6.09925649132289,24.3049890853844,4.24841180941583,10.6793918281556,2.60050326931829,2.83020257070608,2.57246037557854,0.0,0.0,0.144201389901036,-1.0,21.3587836563112,-1.0,1.2,1.69705627484772,0.5,-1.0
24296,23463,,2,1,2.0,-1.0,8.0,-1.0,28.0412129984278,0.375930516339865,28.0386930690452,0.26581107297032,7.25575918875296,0.0972732990694991,0.960881262369334,0.043860824483889,0.0,0.0,0.113023336042416,-1.0,14.5115183775059,-1.0,0.0,0.0,0.0,-1.0
24296,23464,,2,1,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,,
24296,23465,,2,1,2.0,-1.0,8.0,-1.0,31.4906898276285,8.72959505121869,30.2807158611102,6.05300568969493,21.8343356949328,6.11137996444216,6.04113105433146,5.39436673924898,0.0,0.0,0.367168531563661,-1.0,43.6686713898656,-1.0,2.79999999999999,3.95979797464465,0.5,-1.0
24296,23466,,2,1,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,,
24296,23467,,2,1,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,,
24296,23468,,2,1,1.0,-1.0,4.0,-1.0,25.2535544494074,-1.0,25.2535544494074,0.0,10.4228461281845,-1.0,2.18291837127934,-1.0,0.0,-1.0,0.0731149756155288,-1.0,10.4228461281845,-1.0,0.0,-1.0,0.0,-1.0
24296,23469,,2,1,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,,
24296,23470,,2,1,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,,
24296,23471,,2,1,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,,
24296,23472,,2,1,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,,
24296,23473,,2,1,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,,
24296,23474,,2,1,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,,
24296,23475,,2,1,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,,
24296,23476,,2,1,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,,
24296,23477,,2,1,2.0,-1.0,8.0,-1.0,25.6959186953613,0.713764883678589,25.6860054419141,0.504610624137459,10.4124743999545,0.289231090236554,4.2002592746744,0.147528611381518,0.0,0.0,0.148586041167235,-1.0,20.8249487999091,-1.0,0.0,0.0,0.0,-1.0
24296,23478,,2,1,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,,
24296,23479,,2,1,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,,
24296,23480,,2,1,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,,
24296,23481,,2,1,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,,
24296,23482,,2,1,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,,
24296,23483,,2,1,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,,
24296,23484,,2,1,1.0,-1.0,4.0,-1.0,29.8416585280385,-1.0,29.8416585280385,0.0,10.6133932449096,-1.0,4.18862840722463,-1.0,0.0,-1.0,0.0879781269551064,-1.0,10.6133932449096,-1.0,3.2,-1.0,1.0,-1.0
24296,23485,,2,1,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,,
24296,23486,,2,1,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,,
24296,23487,,2,1,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,,
24296,23488,,2,1,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,,
24296,23489,,2,1,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,,
24296,23490,,2,1,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,,
24296,23491,,2,1,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,,
24296,23492,,2,1,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,,
