did,oid,sid,origin,destination,entranceSection,generationTime,entranceTime,exitTime,expectedTravelTime,delayTime,travelledDistance,pathType
24296,1553,53,7862,7987,0,818.336,24218.3,-1.0,0.0,1.37773,1883.32,
24296,1554,53,7962,7867,0,818.928,24218.9,-1.0,0.0,3.74414,329.837,
24296,1555,53,7938,7911,0,819.009,24219.0,-1.0,0.0,19.0215,931.617,
24296,1556,53,7884,7981,0,819.26,24219.3,-1.0,0.0,2.19234,295.314,
24296,1557,53,7867,7955,0,819.754,24219.8,24284.5,0.0,3.80984,1098.13,
24296,1558,53,7886,7958,0,819.846,24219.8,-1.0,0.0,10.1829,782.267,
24296,1559,53,7869,7996,0,820.872,24220.9,-1.0,0.0,1.79909,1190.31,
24296,1560,53,7874,7859,0,821.138,24221.1,-1.0,0.0,10.5521,611.213,
24296,1561,53,7959,7966,0,821.448,24221.4,24288.6,0.0,12.6937,895.805,
24296,1562,53,7983,8024,0,823.543,24223.5,-1.0,0.0,8.41875,944.428,
24296,1563,53,7862,7983,0,823.856,24223.9,-1.0,0.0,0.301063,1523.77,
24296,1564,53,7863,8001,0,824.067,24224.1,-1.0,0.0,12.4087,914.247,
24296,1565,53,7862,7956,0,824.561,24224.6,-1.0,0.0,0.66864,1327.95,
24296,1566,53,7862,8006,0,824.646,24224.6,-1.0,0.0,0.18167,1712.19,
24296,1567,53,7884,7960,0,826.496,24226.5,-1.0,0.0,8.70444,522.145,
24296,1568,53,7907,7934,0,827.837,24227.8,-1.0,0.0,29.7448,686.699,
24296,1569,53,7862,8024,0,828.114,24228.1,24286.6,0.0,3.85065,1084.1,
24296,1570,53,7983,7993,0,828.624,24228.8,24285.9,0.0,15.078,542.786,
24296,1571,56,7859,7886,0,828.918,24228.9,-1.0,0.0,2.87993,1141.07,
24296,1572,53,8001,7997,0,830.243,24230.2,-1.0,0.0,13.7424,596.205,
24296,1573,53,7862,7861,0,830.311,24230.3,-1.0,0.0,0.27936,1530.52,
24296,1574,53,7859,7958,0,831.875,24231.9,-1.0,0.0,1.30968,1299.12,
24296,1575,53,7867,7859,0,832.554,24232.6,-1.0,0.0,0.0304833,1079.61,
24296,1576,53,7862,7861,0,834.865,24234.9,-1.0,0.0,0.803548,1504.03,
24296,1577,56,7877,8006,0,835.197,24235.2,-1.0,0.0,32.4181,497.634,
24296,1578,53,7860,7941,0,836.302,24236.3,-1.0,0.0,1.88465,1068.88,
24296,1579,53,7859,7888,0,837.054,24237.1,-1.0,0.0,0.560814,1144.52,
24296,1580,56,7902,7862,0,837.535,24237.5,-1.0,0.0,8.11807,887.213,
24296,1581,53,7869,7894,0,837.626,24237.6,-1.0,0.0,0.0429743,911.764,
24296,1582,53,7862,8021,0,838.245,24238.2,24289.2,0.0,2.52374,952.806,
24296,1583,53,7869,7890,0,838.719,24239.1,-1.0,0.0,0.159608,871.458,
24296,1584,53,7859,7871,0,838.91,24238.9,24287.2,0.0,3.36482,689.935,
24296,1585,53,7966,7958,0,839.072,24239.1,-1.0,0.0,29.0817,397.4,
24296,1586,53,7881,7859,0,839.334,24239.5,-1.0,0.0,4.46196,919.469,
24296,1587,53,7862,8012,0,841.012,24241.0,-1.0,0.0,1.61333,1624.15,
24296,1588,53,7869,7959,0,841.147,24241.1,-1.0,0.0,7.64874,851.632,
24296,1589,53,8002,7861,0,841.767,24241.8,-1.0,0.0,2.31097,862.477,
24296,1590,53,7862,7990,0,842.271,24242.3,-1.0,0.0,0.183763,1256.39,
24296,1591,53,7950,7958,0,842.764,24242.8,-1.0,0.0,4.37605,838.761,
24296,1592,53,7932,7991,0,842.855,24242.9,-1.0,0.0,1.39769,171.07,
24296,1593,53,8006,7997,0,843.597,24243.6,24292.8,0.0,19.3911,412.765,
24296,1594,53,7859,7888,0,844.114,24244.1,-1.0,0.0,0.482824,1074.46,
24296,1595,53,7992,7867,0,844.3,24244.3,-1.0,0.0,34.6367,308.947,
24296,1596,53,7903,7859,0,844.573,24244.6,-1.0,0.0,1.0625,375.786,
24296,1597,53,7871,7859,0,844.635,24244.6,-1.0,0.0,0.0,269.83,
24296,1598,53,7972,8003,0,844.814,24244.8,-1.0,0.0,2.97499,631.554,
24296,1599,53,7862,7902,0,844.913,24244.9,-1.0,0.0,0.0102121,1354.98,
24296,1600,53,7862,7907,0,845.398,24245.4,-1.0,0.0,3.60548,1091.04,
24296,1601,53,7982,8003,0,845.927,24245.9,-1.0,0.0,8.80284,574.731,
24296,1602,53,7939,7864,0,846.451,24246.5,-1.0,0.0,9.41654,544.763,
24296,1603,56,7862,7860,0,847.177,24247.2,-1.0,0.0,1.89008,1044.06,
24296,1604,53,7936,7938,0,847.367,24247.4,24271.2,0.0,3.38756,310.805,
24296,1605,53,7873,7860,0,847.463,24247.5,24287.7,0.0,3.01788,528.888,
24296,1606,53,7887,7980,0,848.202,24248.2,-1.0,0.0,4.79434,666.146,
24296,1607,53,7863,7984,0,848.352,24248.4,-1.0,0.0,1.73242,777.868,
24296,1608,53,7942,7939,0,848.405,24248.4,-1.0,0.0,11.5248,631.583,
24296,1609,53,7867,7959,0,848.563,24248.6,-1.0,0.0,1.9799,1061.46,
24296,1610,53,7862,7992,0,848.63,24248.6,-1.0,0.0,0.520228,1102.51,
24296,1611,53,7862,8006,0,848.942,24248.9,-1.0,0.0,1.29964,1143.53,
24296,1612,53,7867,7964,0,851.128,24251.1,-1.0,0.0,0.0278435,851.646,
24296,1613,53,7901,7860,0,852.466,24252.5,-1.0,0.0,6.53487,224.017,
24296,1614,56,7860,7948,0,852.85,24252.8,-1.0,0.0,3.25392,775.41,
24296,1615,53,7867,8007,0,853.411,24253.4,-1.0,0.0,0.0299035,761.156,
24296,1616,53,7887,8001,0,854.318,24254.3,-1.0,0.0,2.72795,592.478,
24296,1617,53,7869,7879,0,855.131,24255.1,-1.0,0.0,0.0825143,645.091,
24296,1618,56,7886,7960,0,855.243,24255.2,-1.0,0.0,13.9798,461.509,
24296,1619,53,7867,7964,0,855.266,24255.3,-1.0,0.0,0.398626,872.042,
24296,1620,53,7864,8021,0,855.33,24255.3,-1.0,0.0,0.0,673.333,
24296,1621,53,7867,7955,0,855.729,24255.7,-1.0,0.0,4.58089,736.409,
24296,1622,53,8013,7923,0,855.779,24255.8,-1.0,0.0,1.10831,563.225,
24296,1623,53,7937,7909,0,856.8,24256.0,-1.0,0.0,6.93701,341.918,
24296,1624,53,7903,7918,0,857.093,24257.1,-1.0,0.0,0.713321,208.249,
24296,1625,53,7862,7956,0,857.248,24257.2,-1.0,0.0,0.487947,913.343,
24296,1626,53,7938,7862,0,857.321,24257.3,-1.0,0.0,4.17481,546.146,
24296,1627,53,7859,8004,0,857.463,24257.5,-1.0,0.0,0.537304,859.802,
